benchmark,req_id,init_time,end_time,duration,alloc_b
video-processing,0,1675108761325,1675108761362,37,524288
video-processing,1,1675108761362,1675108761363,1,0
video-processing,2,1675108761363,1675108761364,1,0
video-processing,3,1675108761365,1675108761366,1,0
video-processing,4,1675108761366,1675108761367,1,0
video-processing,5,1675108761367,1675108761368,1,0
video-processing,6,1675108761369,1675108761370,1,0
video-processing,7,1675108761371,1675108761373,2,0
video-processing,8,1675108761373,1675108761376,3,0
video-processing,9,1675108761376,1675108761380,4,0
